;Column2;Column1;idx;token;Label_Gold;Label_BG;Sicher_BG;Label_JL;Sicher_JL;Label_FA;Sicher_FA;Label_RR;Sicher_RR;Label_TH;Zusatzinfo;sentence;context;label;year;filename;Quelle_Gold;Quelle_BG;annodatenerz;Quelle_FA;Quelle_RR;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31
10;1256;7034;1077584;erzählers;c;n;;n;;n;;n;;n;augmented;millimetergenau in Szene setzt - das zeugt von außergewöhnlichen Fingerfertigkeiten des Erzählers.;Wie Christoph Peters abwechselnd seines Helden flaumige erotische Phantasien (ihr Ohrläppchen!) und dessen erbarmungslose zahnärztliche Behandlung (seine Karies!) millimetergenau in Szene setzt - das zeugt von außergewöhnlichen Fingerfertigkeiten des Erzählers. Die Zahnarztpraxis als Locus amoenus - das ist originell. Aus dem Tête-à-tête resultiert allerdings eine jahrelange Lebensgemeinschaft, von der keiner, nicht die Figuren, nicht der Leser, so recht weiß, was sie eigentlich so lange zusammenhält, außer daß sie für den Unterhalt beider aufkommen muß, weil er es zu nichts bringt.;;1999;3.0/1999/03/04/Schwaches_Bindegewebe.xm.xml;;;;;;;;;;;;;;
11;950;182;1078042;erzähler;d;d;70;n;;d;100;d;;n;;An die Stadlers zappelnde Erzähler nicht einen Augenblick mehr glauben mögen.;"Soll man? -, so lässt sich die Stadlersche Werkanstrengung durchaus verstehen als kleines, verwildertes Nachspiel zum katholisch-barocken Welttheater, wo alles Bühne, Schein und Rollenspiel war, vor dem Hintergrund freilich einer jenseitigen und wahren Welt. An die Stadlers zappelnde Erzähler nicht einen Augenblick mehr glauben mögen. Das macht sie zu Opfern und Helden ihres unendlichen Räsonierens, mit immer nur paradoxem Ergebnis: ""Wir waren ungläubig und wurden für unseren Unglauben mit dem Leben bestraft."" Aber: ""Ich redete mir ein, daß das Leben selbst so etwas wie das kleinere Übel war.""";;1999;3.0/1999/10/21/O_Schmerz_lass_nach_.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
12;1280;7085;1078562;erzähler;c;n;;n;;n;;n;;n;augmented;Die Grenze zwischen Realität und Virtualität scheint für ihn aufgehoben und entsprechend auch für den Erzähler seiner Geschichte.;"Während er, Hant, die Unterscheidung zwischen Werk und Konzeption unterlaufe. Hant präsentiert sich damit als Architekt der Zukunft. Die Grenze zwischen Realität und Virtualität scheint für ihn aufgehoben und entsprechend auch für den Erzähler seiner Geschichte. Alle seine Entwürfe hat er in seinem Kopf gespeichert. Es waren anfänglich ""Phantasievorhaben"".";;1999;3.0/1999/10/14/199942.l-haendler_.xml.x.xml;;;;;;;;;;;;;;
13;954;183;1081414;erzählerin;c/d;d;80;n;;c ;80;d;;n;;"und die kunstvolle Porzellantassenprosa der Erzählerin (""Der Wohlklang seiner Stimme und die Sprache seiner Väter gaben der schwankenden Karawane Halt"") stehen einander hart gegenüber, unvermutet landet die Agentenstory im spiritistischen Oberseminar, verliert sich der strenge, suggestive Ton des Romanbeginns über den allzu vielen Hin- und Absichten der Komposition.";"Wie überhaupt oben und unten, Naturalismus und Lyrismus, die beide nicht gerade sparsam verwendet werden, keine Verbindung eingehen. Der jugendfrische Slang der ostdeutschen Agentin (""Macht mich an, läßt mich sitzen und geht knacken, der Arsch!"") und die kunstvolle Porzellantassenprosa der Erzählerin (""Der Wohlklang seiner Stimme und die Sprache seiner Väter gaben der schwankenden Karawane Halt"") stehen einander hart gegenüber, unvermutet landet die Agentenstory im spiritistischen Oberseminar, verliert sich der strenge, suggestive Ton des Romanbeginns über den allzu vielen Hin- und Absichten der Komposition. Der Liebesroman ist neben dem Porträt der alten Wirtin das Beste in diesem Buch. Olga und Alon sind alles andere als das romantische Paar.";;1999;3.0/1999/06/10/Die_Agentenmutter.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
15;952;184;1081956;erzählern;b;b;100;n;;b;100;b;;n;;Barbara Honigmann zählt, wie zuletzt Reinhard Lettau, zu den Dichtern unter den Erzählern.;Es ist ein wieder schmales Werk. Barbara Honigmann zählt, wie zuletzt Reinhard Lettau, zu den Dichtern unter den Erzählern. Sie schreibt Stöße von Papier voll und läßt nur wenige Seiten übrig. Sie schreibt schnörkellose Sätze und erzeugt doch eine poetische Stimmung.;;1999;3.0/1999/05/27/Auf_dem_Heimweg.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
16;821;185;1083771;erzählers;c;c;60;n;;c;60;b;;n;;Er montiert Versatzstücke der Biographie mit dokumentarischem Material, kurzen Redefetzen, und Momentaufnahmen, Beschreibungen der Umgebung, in der diese Menschen leben, mit Reflexionen, die eng am Stoff bleiben, und des öfteren auch mit dem Zweifel des Erzählers („so was sagt sich natürlich sehr leicht“).;Das heißt: Einzinger vertraut keineswegs (der Anschauung) der gegebenen, sichtbaren Wirklichkeit, in der seine Figuren, vom Antensteiner über Falk, Fink, Fischereder bis zur Juliane Windischbauer, leben. Er versucht vielmehr, wie schon vor einigen Jahren Gerold Späth im ersten Teil der „Commedia“, die Wirklichkeit, die er beschreibt, zu (re-)konstruieren. Er montiert Versatzstücke der Biographie mit dokumentarischem Material, kurzen Redefetzen, und Momentaufnahmen, Beschreibungen der Umgebung, in der diese Menschen leben, mit Reflexionen, die eng am Stoff bleiben, und des öfteren auch mit dem Zweifel des Erzählers („so was sagt sich natürlich sehr leicht“). Einundsiebzig Leben – das ist zugleich die Aneinanderreihung von isolierten Lebensgeschichten, die nichts – außer dieser Tatsache – verbindet und die, darum, eng zusammenhängen. Die 203 Lebensläufe von Späth, geradezu eine Monumentalschau des versteinerten Lebens, wurden in der „Commedia“ durch den zweiten Teil, „Das Museum“, auf paradoxe Weise aufgehoben.;;1983;3.0/1983/11/18/hinter-den-bergen.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
17;1217;7165;1083771;erzählers;c;n;;n;;n;;n;;n;augmented;Er montiert Versatzstücke der Biographie mit dokumentarischem Material, kurzen Redefetzen, und Momentaufnahmen, Beschreibungen der Umgebung, in der diese Menschen leben, mit Reflexionen, die eng am Stoff bleiben, und des öfteren auch mit dem Zweifel des Erzählers („so was sagt sich natürlich sehr leicht“).;Das heißt: Einzinger vertraut keineswegs (der Anschauung) der gegebenen, sichtbaren Wirklichkeit, in der seine Figuren, vom Antensteiner über Falk, Fink, Fischereder bis zur Juliane Windischbauer, leben. Er versucht vielmehr, wie schon vor einigen Jahren Gerold Späth im ersten Teil der „Commedia“, die Wirklichkeit, die er beschreibt, zu (re-)konstruieren. Er montiert Versatzstücke der Biographie mit dokumentarischem Material, kurzen Redefetzen, und Momentaufnahmen, Beschreibungen der Umgebung, in der diese Menschen leben, mit Reflexionen, die eng am Stoff bleiben, und des öfteren auch mit dem Zweifel des Erzählers („so was sagt sich natürlich sehr leicht“). Einundsiebzig Leben – das ist zugleich die Aneinanderreihung von isolierten Lebensgeschichten, die nichts – außer dieser Tatsache – verbindet und die, darum, eng zusammenhängen. Die 203 Lebensläufe von Späth, geradezu eine Monumentalschau des versteinerten Lebens, wurden in der „Commedia“ durch den zweiten Teil, „Das Museum“, auf paradoxe Weise aufgehoben.;;1983;3.0/1983/11/18/hinter-den-bergen.xml.xml;;;;;;;;;;;;;;
18;1096;187;1091327;erzählers;d;d;60;n;;d;100;d;;n;;"Eidinger (40) gelinge es meisterhaft, in ""Der Planet Trillaphon im Verhältnis zur Üblen Sache"" von David Foster Wallace die ""emotionale Achterbahnfahrt"" des depressiven Erzählers erlebbar zu machen, urteilte die Jury.";"Köln (dpa) - Der Deutsche Hörbuchpreis für den besten Interpreten geht dieses Jahr an Lars Eidinger, erfolgreicher Bühnenschauspieler und dem Fernsehpublikum bekannt als Mörder aus dem Kieler ""Tatort"" ""Borowski und der stille Gast"". Das teilte am Donnerstag der WDR in Köln mit, einer der wichtigsten Unterstützer des Preises. Eidinger (40) gelinge es meisterhaft, in ""Der Planet Trillaphon im Verhältnis zur Üblen Sache"" von David Foster Wallace die ""emotionale Achterbahnfahrt"" des depressiven Erzählers erlebbar zu machen, urteilte die Jury. Wallace war selbst schwer depressiv. Den Preis als beste Interpretin bekommt die österreichische Schauspielerin Sophie Rois.";;2016;3.0/2016/01/28/auszeichnungen-deutscher.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
19;704;188;1126035;erzähler;b;b;100;n;;b;100;b;;n;;Insbesondere bei dem Band, der die meisten Ansprüche erheben möchte: Dieser Band enthält 33 Beiträge deutscher Erzähler und präsentiert nahezu einen Querschnitt zeitgenössischer deutscher Prosa, der vonErnst Penzoldt, Stefan Andres, Ernst Kreuder bis Siegfried Lenz, Ilse Aichinger reicht und wenig bekannte Namen vermissen läßt – wenn auch unter diesen wenigen Autoren wie Böll, Nossak, Hildesheimer sind, von denen man starke Beiträge hätte erwarten können.;"Bei den vorliegenden Erzählerbänden versuchten die Herausgeber, dieses Vakuum teilweise mit der thematischen Gestaltung der Sammlungen zu kompensieren, wobei sie zugleich um ein literarisches Niveau bemüht waren. Doch je deutlicher diese Mühe nach beiden Seiten zutage tritt, um so offensichtlicher werden die Schwierigkeiten. Insbesondere bei dem Band, der die meisten Ansprüche erheben möchte: Dieser Band enthält 33 Beiträge deutscher Erzähler und präsentiert nahezu einen Querschnitt zeitgenössischer deutscher Prosa, der vonErnst Penzoldt, Stefan Andres, Ernst Kreuder bis Siegfried Lenz, Ilse Aichinger reicht und wenig bekannte Namen vermissen läßt – wenn auch unter diesen wenigen Autoren wie Böll, Nossak, Hildesheimer sind, von denen man starke Beiträge hätte erwarten können. Doch die Anthologie enthält einige gute Geschichten, so etwa die von Heinz Piontek, der sprachlich und formal besonders überzeugt und der außerdem neben Gaiser, Hans Lipinsky-Gottersdorf, Paul Schallück zu den wenigen gehört, die ihren Stoff aus den Erlebnissen unserer Zeit gestalten; von Ilse Aichinger, deren Erzählung voller innerer Spannung ist, von Ernst Kreuder und Hermann Stahl. Es fällt jedoch auf, daß viele begabte Autoren, vor allem die jüngeren, der Versuchung einer sprachlichen Maniriertheit unterliegen.";;1956;3.0/1956/09/13/erzaehler-fallen-nicht-v.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
20;739;17;11291;erzähler;b;b;100;n;;b;100;b;;n;;Karl Dedecius mit seinen Sammlungen polnischer Dichtung trägt ähnlich wie Marcel Reich-Ranicki mit seiner Prosa-Anthologie „Sechzehn polnische Erzähler“ dazu bei, daß man heute sogar von einer deutschen Lesergemeinde zeitgenössischer polnischer Literatur sprechen kann.;Gibt es bessere Brücken als die von den Unbefugten, daß heißt: von den Dichtern gebauten? Und ist denn nicht viel zu wenig Tinte zwischen den beiden Völkern vergossen worden? Karl Dedecius mit seinen Sammlungen polnischer Dichtung trägt ähnlich wie Marcel Reich-Ranicki mit seiner Prosa-Anthologie „Sechzehn polnische Erzähler“ dazu bei, daß man heute sogar von einer deutschen Lesergemeinde zeitgenössischer polnischer Literatur sprechen kann. Ich kenne Münchner Studenten, die mehr über polnische Autoren als über die Schriftsteller in der DDR wissen. Die neueste Anthologie von Dedecius ist als Ganzes konzipiert, mehr Lesebuch als Inventur, die Auswahl vorwiegend gut getroffen, die Proportionen stimmen.;;1965;3.0/1965/07/16/die-polonaise-der-poeten.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
21;1056;189;1131594;erzähler;d;d;90;n;;d;100;d;;n;;Indes: Wäre Jakob der Erzähler geworden, hätte der andere deutsche Teil Grund zum Beleidigtsein gehabt.;Bernd ist der Erzähler der Geschichte, von ihm aus geht die Kamera in die Szene und der Schnitt in die Dokumentation. Empfindliche Zuschauer könnten unterstellen, dass damit wieder ein Wessi das Sagen hat. Indes: Wäre Jakob der Erzähler geworden, hätte der andere deutsche Teil Grund zum Beleidigtsein gehabt. Die Angst vor möglichen Verletztheiten prägt den Film: nur keine Fehler machen, keine Meinungen jenseits der politischen Korrektheit äußern. Es ist ein einziges emotionales Minenfeld, das da um den Film herumgelegt ist.;;2009;3.0/2009/01/29/Film-Die-Woelfe.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
22;1053;190;1132882;erzähler;d;d;100;n;;d;100;d;;n;;Das Bemerkenswerte jedoch ist, dass man sich daran gar nicht stört, dass man als Leser nur allzugern mit dem Erzähler durch die Gänge wandert.;"So viel zu essen, und ich habe gar keinen Hunger, so viel zu trinken, und ich habe gar keinen Durst."" Wagner und sein Ich-Erzähler schlendern weiter, die Welt wird immer größer, ""wer hier einkauft, darf kein Globalisierungsgegner sein"", und nach und nach stellt sich heraus, dass das Flanieren durch den Supermarkt den ganzen Roman über dauern wird. Das Bemerkenswerte jedoch ist, dass man sich daran gar nicht stört, dass man als Leser nur allzugern mit dem Erzähler durch die Gänge wandert. Was daran liegt, dass es nicht allein beim Betrachten und Beschreiben der Warenwelt bleibt, beim Schildern der Begegnungen, mit anderen Kunden oder etwa den Wurstfachverkäuferinnen. Und daran, dass der Ton des Erzählers ein so schön sanfter, unaufdringlicher ist, ein Ton, der eine feinsinnige Heiterkeit ob unser aller vergeblicher Lebensanstrengungen ausstrahlt und ebenso eine zarte Melancholie ob der unerbittlich voranschreitenden Zeit.";;2009;3.0/2009/09/15/flaneur-im-supermarkt.xm.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
23;1057;191;1135444;erzählerin;d;d;50;n;;d;100;d;;n;;So hat die Erzählerin Mibs schon auf der ersten Seite »mächtig gern… im Süden am Rand des Landes gelebt, nah bei den Wellen, die kommen und gehen«.;Das alles hat kaum Platz in einem Roman, der eine Gesellschaft beschreibt, in der Elternliebe großgeschrieben wird, Pastoren es nicht nur gut meinen, sondern auch gut sind und die Bibeln rosarot. Auch der bilderreiche, gefühlsbetonte Stil der Autorin, der für die Übersetzerin Sylke Hachmeister eine Herausforderung gewesen sein dürfte, nährt die Skepsis. So hat die Erzählerin Mibs schon auf der ersten Seite »mächtig gern… im Süden am Rand des Landes gelebt, nah bei den Wellen, die kommen und gehen«. Dorthin mag man ihr noch folgen, aber Luftschlangen, die in einem plötzlich auftauchenden Hurrikan »in Fetzen rissen wie eine Geburtstagsparty im Mixer«, oder ein kleiner Junge, »der wuchs und alt wurde wie Wein und Dreck«, das ist zu viel. Trotzdem: Laws etwas andere Familien-Geschichte bleibt ein schönes Hohelied auf die Pubertät – jene Zeit, in der niemand ganz normal ist.;;2009;3.0/2009/03/12/KJ-Schimmer.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
24;1058;192;1138865;erzähler;c;c;75;n;;a;80;d;;n;;Sie lesen aber gern Bücher, welche die Illusion wecken, der Erzähler säße direkt gegenüber.;Die Figuren parlieren im Drama durchweg jambisch. Auch lesen viele Menschen ungern Theaterstücke. Sie lesen aber gern Bücher, welche die Illusion wecken, der Erzähler säße direkt gegenüber. Genau das passiert in Mirjam Presslers neuestem Roman,Nathan und seine Kinder. Die bekannte Autorin lässt die Beteiligten des Dramas unmittelbar lebendig werden.;;2009;3.0/2009/02/12/KJ-Luchs-Nathan.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
